feature_politeness_==Please==_mean_np,feature_politeness_==Please_start==_mean_np,feature_politeness_==HASHEDGE==_mean_np,feature_politeness_==Indirect_(btw)==_mean_np,feature_politeness_==Hedges==_mean_np,feature_politeness_==Factuality==_mean_np,feature_politeness_==Deference==_mean_np,feature_politeness_==Gratitude==_mean_np,feature_politeness_==Apologizing==_mean_np,feature_politeness_==1st_person_pl.==_mean_np,feature_politeness_==1st_person==_mean_np,feature_politeness_==1st_person_start==_mean_np,feature_politeness_==2nd_person==_mean_np,feature_politeness_==2nd_person_start==_mean_np,feature_politeness_==Indirect_(greeting)==_mean_np,feature_politeness_==Direct_question==_mean_np,feature_politeness_==Direct_start==_mean_np,feature_politeness_==HASPOSITIVE==_mean_np,feature_politeness_==HASNEGATIVE==_mean_np,feature_politeness_==SUBJUNCTIVE==_mean_np,feature_politeness_==INDICATIVE==_mean_np,feature_politeness_==Please==_mean_p,feature_politeness_==Please_start==_mean_p,feature_politeness_==HASHEDGE==_mean_p,feature_politeness_==Indirect_(btw)==_mean_p,feature_politeness_==Hedges==_mean_p,feature_politeness_==Factuality==_mean_p,feature_politeness_==Deference==_mean_p,feature_politeness_==Gratitude==_mean_p,feature_politeness_==Apologizing==_mean_p,feature_politeness_==1st_person_pl.==_mean_p,feature_politeness_==1st_person==_mean_p,feature_politeness_==1st_person_start==_mean_p,feature_politeness_==2nd_person==_mean_p,feature_politeness_==2nd_person_start==_mean_p,feature_politeness_==Indirect_(greeting)==_mean_p,feature_politeness_==Direct_question==_mean_p,feature_politeness_==Direct_start==_mean_p,feature_politeness_==HASPOSITIVE==_mean_p,feature_politeness_==HASNEGATIVE==_mean_p,feature_politeness_==SUBJUNCTIVE==_mean_p,feature_politeness_==INDICATIVE==_mean_p,feature_politeness_==Please==_grad_np,feature_politeness_==Please_start==_grad_np,feature_politeness_==HASHEDGE==_grad_np,feature_politeness_==Indirect_(btw)==_grad_np,feature_politeness_==Hedges==_grad_np,feature_politeness_==Factuality==_grad_np,feature_politeness_==Deference==_grad_np,feature_politeness_==Gratitude==_grad_np,feature_politeness_==Apologizing==_grad_np,feature_politeness_==1st_person_pl.==_grad_np,feature_politeness_==1st_person==_grad_np,feature_politeness_==1st_person_start==_grad_np,feature_politeness_==2nd_person==_grad_np,feature_politeness_==2nd_person_start==_grad_np,feature_politeness_==Indirect_(greeting)==_grad_np,feature_politeness_==Direct_question==_grad_np,feature_politeness_==Direct_start==_grad_np,feature_politeness_==HASPOSITIVE==_grad_np,feature_politeness_==HASNEGATIVE==_grad_np,feature_politeness_==SUBJUNCTIVE==_grad_np,feature_politeness_==INDICATIVE==_grad_np,feature_politeness_==Please==_grad_p,feature_politeness_==Please_start==_grad_p,feature_politeness_==HASHEDGE==_grad_p,feature_politeness_==Indirect_(btw)==_grad_p,feature_politeness_==Hedges==_grad_p,feature_politeness_==Factuality==_grad_p,feature_politeness_==Deference==_grad_p,feature_politeness_==Gratitude==_grad_p,feature_politeness_==Apologizing==_grad_p,feature_politeness_==1st_person_pl.==_grad_p,feature_politeness_==1st_person==_grad_p,feature_politeness_==1st_person_start==_grad_p,feature_politeness_==2nd_person==_grad_p,feature_politeness_==2nd_person_start==_grad_p,feature_politeness_==Indirect_(greeting)==_grad_p,feature_politeness_==Direct_question==_grad_p,feature_politeness_==Direct_start==_grad_p,feature_politeness_==HASPOSITIVE==_grad_p,feature_politeness_==HASNEGATIVE==_grad_p,feature_politeness_==SUBJUNCTIVE==_grad_p,feature_politeness_==INDICATIVE==_grad_p
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.2,0.0,0.0,0.6,0.8,0.0,0.0,0.0,0.0,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.2,0.0,0.2,0.0,0.0,0.8,0.6,0.0,0.0,0.0,0.0,-1.0507920739455759e-16,0.0,-1.0507920739455759e-16,0.0,0.0,0.0,0.0,0.0,0.0,-4.0352477207549445e-17,-0.20000000000000015,0.0,-0.20000000000000007,0.0,0.0,-9.093342553376475e-17,0.19999999999999998,0.0,0.0,0.0,0.0,0.09999999999999991,0.0,-5.0487380448362973e-17,-4.973883742554424e-18,0.0,0.0,0.0,0.19999999999999998,-0.10000000000000012,0.0,-4.973883742554424e-18,0.0,-0.20000000000000007,0.0,0.0,-0.10000000000000003,0.2,0.0,0.0
0.0,0.0,0.375,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.125,0.375,0.0,0.125,0.125,0.125,0.625,0.375,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.42857142857142855,0.0,0.0,0.0,0.0,0.10714285714285712,0.0,0.035714285714285705,-0.035714285714285726,0.0,0.08333333333333331,0.0,0.0,0.0,-0.035714285714285726,-0.011904761904761939,0.0,-0.0833333333333333,-0.059523809523809576,-0.035714285714285726,0.10714285714285715,0.011904761904761894,0.0,0.0,0.0,0.0,0.14285714285714282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428572,-3.8426622421637305e-19,0.0,0.0,-0.14285714285714285,0.07142857142857144,0.0,0.10714285714285714,0.17857142857142858,0.0,0.0
0.0,0.0,0.5,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.25,0.0,0.125,0.25,0.0,0.625,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.125,0.0,0.125,0.0,0.125,0.5,0.125,0.0,0.0,0.0,0.0,-0.11904761904761903,0.0,-0.17857142857142855,0.0,0.0,0.08333333333333331,0.0,0.0,0.0,-0.035714285714285726,-0.14285714285714285,0.0,-0.0833333333333333,-0.04761904761904768,0.0,-0.035714285714285754,0.09523809523809525,0.0,0.0,0.0,0.0,0.09523809523809525,0.0,0.09523809523809525,0.0,0.0,0.0,0.0,0.0,-1.2700522934029512e-17,0.09523809523809525,0.011904761904761899,0.0,-0.0833333333333333,0.0,-0.035714285714285726,0.07142857142857142,0.011904761904761899,0.0,0.0
0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004,0.0,-0.30000000000000004,0.0,0.0,-7.074640819510196e-17,0.30000000000000016,-0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993,0.2000000000000001,1.2466677325125226e-16,1.2466677325125226e-16,0.0,0.0,0.0,0.0,0.39999999999999997,0.39999999999999997,0.0,0.0
0.0,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,1.0,0.6,0.2,0.0,0.0,0.0,0.75,0.0,0.75,0.25,0.0,0.0,0.0,0.75,0.5,0.75,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,-0.10000000000000012,0.0,-0.10000000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20000000000000007,0.0,-0.20000000000000007,0.0,0.0,-1.0507920739455759e-16,0.09999999999999999,-0.20000000000000007,0.0,0.0,0.0,0.30000000000000016,0.0,0.30000000000000016,-0.09999999999999996,0.0,0.0,0.0,0.09999999999999988,1.2466677325125226e-16,0.30000000000000016,0.0,0.0,0.0,0.0,-0.39999999999999997,-8.214889951798643e-17,-8.214889951798643e-17,0.0,0.0
0.0,0.0,0.38461538461538464,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.7692307692307693,0.46153846153846156,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.09090909090909091,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.0,0.0,0.0,0.0,0.5454545454545454,0.2727272727272727,0.0,0.0,0.0,0.0,-0.016483516483516487,0.0,-0.032967032967032975,0.02747252747252747,0.0,0.0,0.0,0.01098901098901099,0.0,0.0,-0.016483516483516487,0.0,-0.032967032967032975,0.0,0.0,-0.021978021978021928,0.049450549450549476,0.0,0.0,0.0,0.0,-0.06363636363636362,0.0,-0.06363636363636362,0.0,0.0,0.0,0.0,0.018181818181818177,0.07272727272727272,-0.018181818181818174,0.05454545454545454,0.0,0.0,0.0,0.0,-0.0727272727272727,0.027272727272727282,0.0,0.0
0.0,0.0,0.6666666666666666,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,-0.17142857142857137,0.0,-0.2571428571428571,0.0,0.0,0.1428571428571428,0.0,0.08571428571428572,0.0,0.0,-0.11428571428571425,0.0,-0.1428571428571428,1.865412628475481e-17,0.0,-0.028571428571428484,0.08571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.19999999999999998,0.3,0.0,0.0
0.0,0.0,0.75,0.0,0.375,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.375,0.0,0.125,0.0,0.125,0.625,0.625,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.4444444444444444,0.3333333333333333,0.0,0.0,0.0,0.0,-0.07142857142857152,0.0,-0.17857142857142855,0.0,0.0,0.08333333333333331,0.0,-0.011904761904761904,0.0,0.011904761904761899,0.011904761904761927,0.0,-0.0833333333333333,0.0,0.011904761904761899,-0.10714285714285715,0.03571428571428568,0.0,0.0,0.0,0.0,0.03333333333333331,0.0,-0.03333333333333331,0.049999999999999975,0.0,0.0,0.0,0.0,-0.049999999999999954,0.11666666666666665,0.049999999999999975,0.0,-0.0666666666666667,0.0,0.049999999999999975,8.89263223976583e-17,0.11666666666666664,0.0,0.0
0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.2,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,-0.10000000000000003,0.0,-4.973883742554424e-18,0.0,0.0,0.2,0.0,0.0,0.0,0.1,-5.0487380448362973e-17,0.0,-0.20000000000000007,-0.20000000000000007,0.0,0.09999999999999999,-3.012400608888356e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1133401854611596e-17,2.1133401854611596e-17,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0
0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,0.0,-0.20000000000000007,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.0,-0.20000000000000007,0.0,-1.0507920739455759e-16,0.0,0.0,0.0,0.0,0.0,-0.09999999999999996,0.0,-0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,-0.09999999999999996,0.0,0.0,-0.30000000000000004,0.0,0.0,0.2000000000000001,0.0,0.0,0.0
