n_words_mean_np,pron_me_mean_np,pron_we_mean_np,pron_you_mean_np,pron_3rd_mean_np,geo_mean_np,meta_mean_np,certain_mean_np,hedge_mean_np,n_introduced_mean_np,n_introduced_w_certain_mean_np,n_introduced_w_hedge_mean_np,n_words_mean_p,pron_me_mean_p,pron_we_mean_p,pron_you_mean_p,pron_3rd_mean_p,geo_mean_p,meta_mean_p,certain_mean_p,hedge_mean_p,n_introduced_mean_p,n_introduced_w_certain_mean_p,n_introduced_w_hedge_mean_p,n_words_grad_np,pron_me_grad_np,pron_we_grad_np,pron_you_grad_np,pron_3rd_grad_np,geo_grad_np,meta_grad_np,certain_grad_np,hedge_grad_np,n_introduced_grad_np,n_introduced_w_certain_grad_np,n_introduced_w_hedge_grad_np,n_words_grad_p,pron_me_grad_p,pron_we_grad_p,pron_you_grad_p,pron_3rd_grad_p,geo_grad_p,meta_grad_p,certain_grad_p,hedge_grad_p,n_introduced_grad_p,n_introduced_w_certain_grad_p,n_introduced_w_hedge_grad_p
29.0,0.4,0.0,0.6,0.0,0.2,0.0,0.0,1.4,0.0,0.0,0.0,53.4,1.2,2.6,0.2,2.0,0.0,0.0,0.2,1.4,0.0,0.0,0.0,3.300000000000002,5.0674516204067655e-17,0.0,-0.2,0.0,0.19999999999999996,0.0,0.0,0.7,0.0,0.0,0.0,2.0000000000000004,0.2,0.6000000000000001,4.560706458366089e-17,0.5000000000000001,0.0,0.0,-0.09999999999999995,0.2,0.0,0.0,0.0
23.875,0.25,0.0,0.375,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,19.857142857142858,0.7142857142857143,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.7976190476190472,-0.02380952380952382,0.0,-0.011904761904761897,0.0,-0.0714285714285714,0.0,0.0,0.1904761904761904,0.0,0.0,0.0,5.9642857142857135,0.03571428571428572,0.0,0.0,0.07142857142857141,0.035714285714285705,0.0,0.0,0.2857142857142857,0.0,0.0,0.0
19.375,0.125,0.0,0.25,0.375,0.125,0.0,0.0,0.5,0.0,0.0,0.0,11.5,0.5,0.0,0.25,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.4880952380952392,-0.03571428571428571,0.0,-0.14285714285714277,0.0119047619047619,0.059523809523809514,0.0,0.0,0.09523809523809519,0.0,0.0,0.0,1.5952380952380953,0.0952380952380952,0.0,0.023809523809523784,0.0,0.08333333333333331,0.0,0.0,0.0952380952380952,0.0,0.0,0.0
39.5,0.25,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,36.0,1.25,0.5,0.75,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,13.599999999999998,-0.30000000000000027,0.0,-0.6000000000000005,0.0,0.30000000000000004,0.0,0.0,-0.30000000000000027,0.0,0.0,0.0,18.0,0.2999999999999999,0.6000000000000001,0.09999999999999998,0.4000000000000001,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.0
32.8,0.2,0.0,0.4,0.6,0.0,0.0,0.0,0.8,0.0,0.0,0.0,39.5,1.5,1.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,3.3000000000000025,-0.20000000000000007,0.0,-0.40000000000000013,-0.09999999999999981,0.0,0.0,0.0,-2.0269806481627063e-17,0.0,0.0,0.0,-9.495026699554798e-15,0.19999999999999996,0.19999999999999976,0.0,0.0,0.30000000000000004,0.0,0.0,0.09999999999999998,0.0,0.0,0.0
29.692307692307693,0.0,0.3076923076923077,0.23076923076923078,0.3076923076923077,0.38461538461538464,0.0,0.15384615384615385,0.5384615384615384,0.0,0.0,0.0,14.090909090909092,0.6363636363636364,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.09090909090909091,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.6923076923076943,0.0,0.04395604395604397,-0.016483516483516487,0.038461538461538484,-0.021978021978021945,0.0,0.010989010989010988,0.060439560439560454,0.0,0.0,0.0,-0.9363636363636361,0.054545454545454564,0.018181818181818184,0.05454545454545452,-0.027272727272727264,-0.009090909090909094,0.0,0.0,-0.06363636363636356,0.0,0.0,0.0
18.0,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.942857142857143,0.0,0.08571428571428572,-0.1142857142857143,0.0,0.0,0.0,0.0,0.2857142857142858,0.0,0.0,0.0,4.699999999999999,0.0,0.0,0.09999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.75,0.125,0.5,0.375,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.88888888888889,1.2222222222222223,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,-1.2142857142857144,0.011904761904761892,-0.04761904761904756,0.011904761904761934,-0.11904761904761897,0.0,0.0,0.0,0.04761904761904762,0.0,0.0,0.0,2.533333333333333,0.21666666666666662,0.0,0.05000000000000001,-0.016666666666666677,0.0,0.0,0.0,0.016666666666666635,0.0,0.0,0.0
19.0,0.2,0.0,0.4,0.8,0.4,0.0,0.0,0.8,0.0,0.0,0.0,9.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,-0.9999999999999971,0.09999999999999999,0.0,-5.0674516204067655e-17,-0.09999999999999987,0.19999999999999998,0.0,0.0,-0.1999999999999998,0.0,0.0,0.0,7.0,-9.930136612989092e-17,0.0,0.0,-4.965068306494546e-17,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.2,0.2,0.0,0.8,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.0,3.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.3000000000000007,0.19999999999999996,0.0,0.1999999999999999,-0.09999999999999995,0.0,0.0,0.09999999999999999,0.09999999999999999,0.0,0.0,0.0,0.5999999999999996,0.09999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,-0.10000000000000009,0.0,0.0,0.0
40.666666666666664,0.16666666666666666,0.3333333333333333,0.5,0.16666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.2,0.2,1.2,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,3.3714285714285714,-0.02857142857142856,0.1142857142857143,-0.028571428571428616,-0.08571428571428573,0.0,0.0,0.0,0.34285714285714275,0.0,0.0,0.0,7.199999999999999,0.19999999999999996,0.4,0.0,0.19999999999999996,0.19999999999999996,4.560706458366089e-17,0.0,0.0,0.0,0.0,0.0
24.2,0.2,0.3,0.7,0.3,0.4,0.0,0.0,0.4,0.0,0.0,0.0,13.653846153846153,0.23076923076923078,0.15384615384615385,0.19230769230769232,0.19230769230769232,0.07692307692307693,0.0,0.038461538461538464,0.6153846153846154,0.0,0.0,0.0,1.6000000000000014,-0.012121212121212126,0.054545454545454564,0.0181818181818182,-0.01818181818181815,6.5763936269901676e-18,0.0,0.0,-0.04848484848484847,0.0,0.0,0.0,1.0519658119658122,-0.012991452991452997,-0.008205128205128209,0.04068376068376069,0.014700854700854707,-0.004786324786324788,0.0,0.00854700854700855,0.009572649572649581,0.0,0.0,0.0
24.333333333333332,0.5,0.16666666666666666,0.8333333333333334,1.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,9.88888888888889,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.8000000000000023,0.028571428571428536,0.08571428571428572,0.14285714285714282,-0.2857142857142857,0.0,0.0,0.0,0.4571428571428572,0.0,0.0,0.0,0.8499999999999994,0.0,-0.03333333333333334,0.05000000000000001,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0
