Low Propositional Density_mean_p,High Propositional Density_mean_p,Low Content Density_mean_p,High Content Density_mean_p,Low Formality_mean_p,High Formality_mean_p,Low Politeness_mean_p,High Politeness_mean_p,Negative Sentiment_mean_p,Neutral Sentiment_mean_p,Positive Sentiment_mean_p,Epistemic Uncertainty_mean_p,Doxastic Uncertainty_mean_p,Investigative Uncertainty_mean_p,Conditional Uncertainty_mean_p,No Uncertainty_mean_p,Low Propositional Density_grad_p,High Propositional Density_grad_p,Low Content Density_grad_p,High Content Density_grad_p,Low Formality_grad_p,High Formality_grad_p,Low Politeness_grad_p,High Politeness_grad_p,Negative Sentiment_grad_p,Neutral Sentiment_grad_p,Positive Sentiment_grad_p,Epistemic Uncertainty_grad_p,Doxastic Uncertainty_grad_p,Investigative Uncertainty_grad_p,Conditional Uncertainty_grad_p,No Uncertainty_grad_p,Low Propositional Density_mean_np,High Propositional Density_mean_np,Low Content Density_mean_np,High Content Density_mean_np,Low Formality_mean_np,High Formality_mean_np,Low Politeness_mean_np,High Politeness_mean_np,Negative Sentiment_mean_np,Neutral Sentiment_mean_np,Positive Sentiment_mean_np,Epistemic Uncertainty_mean_np,Doxastic Uncertainty_mean_np,Investigative Uncertainty_mean_np,Conditional Uncertainty_mean_np,No Uncertainty_mean_np,Low Propositional Density_grad_np,High Propositional Density_grad_np,Low Content Density_grad_np,High Content Density_grad_np,Low Formality_grad_np,High Formality_grad_np,Low Politeness_grad_np,High Politeness_grad_np,Negative Sentiment_grad_np,Neutral Sentiment_grad_np,Positive Sentiment_grad_np,Epistemic Uncertainty_grad_np,Doxastic Uncertainty_grad_np,Investigative Uncertainty_grad_np,Conditional Uncertainty_grad_np,No Uncertainty_grad_np
0.0,0.6,0.0,0.6,0.6,0.0,0.2,0.4,0.6,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,-4.053961296325413e-17,0.0,-4.053961296325413e-17,-4.053961296325413e-17,0.0,0.1999999999999999,-0.1999999999999999,-4.053961296325413e-17,0.0,0.0,-0.1999999999999999,0.0,0.0,-5.067451620406766e-17,0.0,0.2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.2,0.6,0.0,0.0,0.6,0.0,-0.2,0.2,0.0,1.2161883888976242e-16,0.0,1.2161883888976242e-16,0.0,1.2161883888976242e-16,0.0,-2.0269806481627066e-17,4.5607064583660885e-17,-4.053961296325413e-17,0.0,0.0,6.080941944488121e-17,0.0
0.2857142857142857,0.4285714285714285,0.1428571428571428,0.5714285714285714,0.4285714285714285,0.2857142857142857,0.0,0.7142857142857143,0.1428571428571428,0.5714285714285714,0.0,0.2857142857142857,0.0,0.0,0.4285714285714285,0.2857142857142857,-0.1785714285714286,0.1071428571428571,-0.1071428571428572,0.0357142857142857,-0.1428571428571429,0.0714285714285714,0.0,-0.0714285714285714,0.0,-0.0714285714285715,0.0,0.1071428571428571,0.0,0.0,0.1071428571428571,-0.1785714285714286,0.375,0.25,0.0,0.625,0.25,0.375,0.0,0.625,0.0,0.5,0.125,0.125,0.0,0.125,0.125,0.375,-0.0595238095238094,0.0476190476190475,0.0,-0.0119047619047618,-0.1428571428571427,0.1309523809523809,0.0,-0.0119047619047618,0.0,-0.0952380952380951,0.0833333333333333,0.0357142857142856,0.0,-0.0595238095238095,0.0357142857142856,0.0119047619047619
0.375,0.25,0.125,0.5,0.625,0.0,0.0,0.625,0.0,0.375,0.25,0.0,0.0,0.0,0.125,0.5,-0.1547619047619046,9.383097129595136e-18,-0.0595238095238095,-0.0952380952380951,-0.1547619047619046,0.0,0.0,-0.1547619047619046,0.0,-0.1309523809523808,-0.0238095238095237,0.0,0.0,0.0,-0.0357142857142857,-0.1190476190476189,0.375,0.375,0.0,0.75,0.25,0.5,0.0,0.75,0.125,0.375,0.25,0.5,0.0,0.0,0.125,0.25,-0.0595238095238094,0.0595238095238095,0.0,5.629858277757081e-17,0.1428571428571428,-0.1428571428571427,0.0,5.629858277757081e-17,0.0595238095238095,-0.1785714285714284,0.119047619047619,-0.1190476190476189,0.0,0.0,-0.0357142857142857,0.119047619047619
0.25,0.5,0.0,0.75,0.5,0.25,0.0,0.75,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.75,-0.3000000000000002,0.4000000000000001,0.0,0.0999999999999999,-0.2000000000000001,0.3,0.0,0.0999999999999999,0.0,-0.2000000000000001,0.3,0.0,0.0,0.0,0.0,0.0999999999999999,0.25,0.25,0.0,0.5,0.0,0.5,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.25,-0.3000000000000002,-0.1,0.0,-0.4000000000000003,0.0,-0.4000000000000003,-0.1,-0.3000000000000002,0.0,-0.4000000000000003,0.0,0.0,0.0,-0.3000000000000002,0.0,-0.1
0.0,0.75,0.0,0.75,0.5,0.25,0.0,0.75,0.25,0.0,0.5,0.25,0.0,0.0,0.0,0.5,0.0,0.0999999999999999,0.0,0.0999999999999999,-0.2000000000000001,0.3,0.0,0.0999999999999999,0.1,0.0,-2.077037090527612e-16,0.1,0.0,0.0,0.0,-2.077037090527612e-16,0.2,0.6,0.0,0.8,0.0,0.8,0.0,0.8,0.6,0.2,0.0,0.4,0.0,0.2,0.2,0.2,-0.2,0.1,0.0,-0.0999999999999999,0.0,-0.0999999999999999,0.0,-0.0999999999999999,0.1,-0.2,0.0,-0.0999999999999999,0.0,-0.2,4.5607064583660885e-17,0.1999999999999999
0.4545454545454545,0.0909090909090909,0.0,0.5454545454545454,0.5454545454545454,0.0,0.0,0.5454545454545454,0.0,0.3636363636363636,0.1818181818181818,0.0,0.0,0.1818181818181818,0.0,0.3636363636363636,-0.0818181818181817,1.414555115923992e-18,0.0,-0.0818181818181817,-0.0818181818181817,0.0,0.0,-0.0818181818181817,0.0,-0.0181818181818181,-0.0636363636363635,0.0,0.0,0.009090909090909,0.0,-0.0909090909090908,0.2307692307692307,0.3846153846153846,0.0,0.6153846153846154,0.1538461538461538,0.4615384615384615,0.2307692307692307,0.3846153846153846,0.2307692307692307,0.3846153846153846,0.0,0.0769230769230769,0.0,0.0769230769230769,0.0,0.4615384615384615,-0.0274725274725274,-0.0164835164835164,0.0,-0.0439560439560439,-1.741861189847285e-17,-0.0439560439560439,-0.0274725274725274,-0.0164835164835164,0.010989010989011,-0.0549450549450549,0.0,-0.0054945054945054,0.0,-0.0329670329670329,0.0,-0.0054945054945054
0.4,0.4,0.0,0.8,0.6,0.2,0.0,0.8,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.8,-0.3,0.1999999999999999,0.0,-0.0999999999999999,-0.0999999999999999,4.5607064583660885e-17,0.0,-0.0999999999999999,0.0,-0.2999999999999999,0.1999999999999999,0.0,0.0,0.0,0.0,-0.0999999999999999,0.5,0.5,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.5,0.3333333333333333,0.1666666666666666,0.8333333333333334,0.0,0.0,0.1666666666666666,0.1666666666666666,-0.0857142857142856,0.0857142857142857,0.0,-5.988097684046442e-17,0.0571428571428571,-0.0571428571428572,0.0,-5.988097684046442e-17,0.0857142857142857,-0.2285714285714285,0.1428571428571428,-0.1428571428571428,0.0,0.0,0.0857142857142857,0.1428571428571428
0.4444444444444444,0.3333333333333333,0.0,0.7777777777777778,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,-0.1,0.1166666666666667,0.0,0.0166666666666666,0.1166666666666666,-0.1,0.0333333333333333,-0.0166666666666667,0.0333333333333333,-0.05,0.0333333333333332,0.0,0.0166666666666666,0.05,0.0,-0.05,0.25,0.75,0.0,1.0,0.375,0.625,0.125,0.875,0.625,0.125,0.25,0.5,0.125,0.125,0.375,0.125,4.222393708317812e-17,5.629858277757081e-17,0.0,3.753238851838056e-17,-0.1547619047619046,0.1547619047619047,-0.0119047619047618,0.0119047619047619,-0.0119047619047618,-0.0833333333333332,0.0952380952380952,3.753238851838056e-17,-0.0119047619047618,-0.0833333333333332,0.1071428571428571,0.0833333333333333
0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5000000000000002,0.5,-0.5,0.5,-0.5000000000000002,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.0,0.8,0.6,0.2,0.0,0.8,0.2,0.4,0.2,0.4,0.0,0.2,0.0,0.2,0.1999999999999999,-0.2,0.0,-2.0269806481627066e-17,-0.0999999999999999,0.0999999999999999,0.0,-2.0269806481627066e-17,0.0999999999999999,-0.3,0.1999999999999999,5.067451620406766e-17,0.0,-0.2,0.0,0.1999999999999999
1.0,0.0,0.5,0.5,1.0,0.0,0.0,1.0,0.0,0.75,0.25,0.0,0.0,0.0,0.0,1.0,-1.18687833744435e-16,0.0,-0.2000000000000001,0.2,-1.18687833744435e-16,0.0,0.0,-1.18687833744435e-16,0.0,-0.3000000000000002,0.3,0.0,0.0,0.0,0.0,-1.18687833744435e-16,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,-0.2,0.0,0.0,-0.2,-0.2,0.0,0.0,-0.2,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,-0.2
