DT-Level 0_mean,DT-Level 1_mean,DT-Level 2_mean,DT-Level 3_mean,DT-Level 4_mean,DT-Level 5_mean,DT-Level 6_mean,DT-Level 7_mean,DT-Label A_mean,DT-Label B_mean,DT-Label C_mean,DT-Label D_mean,DT-Label E_mean,DT-Label F_mean,DT-Label G_mean,DT-Label H_mean,DT-Label I_mean,DT-Level 0_grad,DT-Level 1_grad,DT-Level 2_grad,DT-Level 3_grad,DT-Level 4_grad,DT-Level 5_grad,DT-Level 6_grad,DT-Level 7_grad,DT-Label A_grad,DT-Label B_grad,DT-Label C_grad,DT-Label D_grad,DT-Label E_grad,DT-Label F_grad,DT-Label G_grad,DT-Label H_grad,DT-Label I_grad
0.0,0.1,0.0,0.0,0.4,0.3,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.0,-0.0181818181818182,0.0,0.0,-0.06060606060606064,0.030303030303030307,0.0,0.0,0.054545454545454564,-0.03030303030303032,-0.05454545454545454,0.0,0.0,0.0,0.0,0.08484848484848485,0.0
0.0,0.0,0.13333333333333333,0.0,0.3333333333333333,0.26666666666666666,0.0,0.0,0.06666666666666667,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.03571428571428571,0.0,-0.0071428571428571435,0.01428571428571428,0.0,0.0,0.024999999999999994,-0.0071428571428571435,0.021428571428571422,0.0,0.0,0.0,0.0,0.0,-0.057142857142857134
0.0,0.0,0.0,0.0,0.5,0.0625,0.0,0.0,0.0625,0.1875,0.1875,0.0625,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,-0.002941176470588229,0.001470588235294116,0.0,0.0,0.022058823529411763,0.030882352941176472,-0.02500000000000001,0.004411764705882352,0.0,0.0,0.0,0.0,0.016176470588235306
0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02380952380952381,0.119047619047619,0.0,0.0,0.0,0.0,-0.059523809523809514,0.08333333333333331,0.0,-0.08333333333333327,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-7.773115951059726e-17,0.06666666666666668,0.0,0.0,0.0,0.0,-0.0666666666666667,0.0,0.0,0.0,0.0,-0.016666666666666677,0.0
0.0,0.0,0.0,0.0,0.6666666666666666,0.08333333333333333,0.0,0.0,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.0,0.041666666666666664,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,-0.003478260869565219,0.004347826086956521,0.0,0.0,0.01,-0.003043478260869567,-0.013913043478260882,-0.005652173913043479,0.0021739130434782618,0.0,0.0030434782608695643,0.0,0.00565217391304348
0.0,0.0,0.0,0.0,0.5454545454545454,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,-0.009090909090909084,0.036363636363636355,0.0,0.0,0.0,0.0,-0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.045454545454545435
0.0,0.0,0.0,0.0,0.35294117647058826,0.35294117647058826,0.0,0.0,0.0,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.0,0.0,-0.01715686274509806,0.029411764705882346,0.0,0.0,0.0,-0.01470588235294119,-0.007352941176470593,0.007352941176470586,0.0,0.0,0.0,0.009803921568627449,1.4352066479567635e-17
0.0,0.125,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.125,0.25,0.0,0.011904761904761892,0.0,0.0,0.0833333333333333,0.011904761904761892,0.0,0.0,0.0,0.0238095238095238,-0.059523809523809514,0.0,0.0,0.0,0.0,-0.0357142857142857,4.222393708317812e-17
0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.033333333333333305,0.0,0.0,0.0,0.06666666666666668,-0.05000000000000004,-0.05000000000000004,0.0,0.0,0.0,0.0,0.0,-0.03333333333333338
0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.0,0.0,0.0,0.45454545454545453,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.02727272727272727,0.07272727272727271,0.0,0.0,0.0,-0.054545454545454564,-0.05454545454545451,0.06363636363636362,0.0,0.0,0.0,-0.03636363636363638,0.0
0.0,0.0,0.0,0.027777777777777776,0.3888888888888889,0.2222222222222222,0.0,0.0,0.0,0.1388888888888889,0.027777777777777776,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.19444444444444445,0.0,0.0,0.0,0.0019305019305019305,-0.0025740025740025657,0.00257400257400258,0.0,0.0,0.0,-0.00012870012870012546,-0.003989703989703988,0.004118404118404117,0.0,0.0,0.0,-0.006177606177606173,0.0032175032175032173
0.0,0.0,0.0,0.0,0.6,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.0,0.0071428571428571504,0.024999999999999994,0.0,0.0,0.0,0.0,-0.021428571428571425,0.0,0.0,0.0,0.0,0.01071428571428571,-0.010714285714285735
0.0,0.0,0.0,0.0,0.6111111111111112,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.05555555555555555,0.1111111111111111,0.0,0.0,0.0,0.05555555555555555,0.2222222222222222,0.0,0.0,0.0,0.0,-0.013415892672858613,0.005159958720330237,0.0,0.0,0.0,-0.0030959752321981456,-0.017543859649122806,0.026831785345717236,0.0,0.0,0.0,0.01341589267285862,0.012383900928792569
0.0,0.0,0.0,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.15384615384615385,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,-0.02197802197802195,-0.005494505494505487,0.0,0.0,0.027472527472527465,0.0,0.032967032967032954,-0.016483516483516467,0.0,0.0,0.0,-0.049450549450549414,0.027472527472527465
0.0,0.0,0.0,0.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.0,0.5555555555555556,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666664,-1.3602952914354521e-17,0.0,0.0,0.0,0.04999999999999998,-0.05,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.625,0.25,0.0,0.0,0.125,0.0625,0.0625,0.125,0.0625,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0,0.0,0.011764705882352958,-0.020588235294117647,0.0,0.0,0.017647058823529408,0.01323529411764706,-0.022058823529411752,-0.017647058823529415,-0.01911764705882352,0.0,0.0,-0.004411764705882352,0.022058823529411763
0.0,0.0,0.0,0.0,0.38461538461538464,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.07692307692307693,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.032967032967032996,0.027472527472527465,0.0,0.0,0.032967032967032954,0.0,-0.010989010989010976,4.354652974618213e-18,0.0,0.0,0.0,-0.02197802197802197,-1.5241285411163744e-17
0.0,0.0,0.0,0.0,0.47058823529411764,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.11764705882352941,0.0,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.0,-0.004901960784313753,0.012254901960784315,0.0,0.0,0.0,0.01715686274509804,-0.029411764705882356,0.007352941176470586,0.0,0.0,0.0,0.0,1.0046446535697343e-17
