Low Propositional Density_mean,High Propositional Density_mean,Low Content Density_mean,High Content Density_mean,Low Formality_mean,High Formality_mean,Low Politeness_mean,High Politeness_mean,Negative Sentiment_mean,Neutral Sentiment_mean,Positive Sentiment_mean,Epistemic Uncertainty_mean,Doxastic Uncertainty_mean,Investigative Uncertainty_mean,Conditional Uncertainty_mean,No Uncertainty_mean,Low Propositional Density_grad,High Propositional Density_grad,Low Content Density_grad,High Content Density_grad,Low Formality_grad,High Formality_grad,Low Politeness_grad,High Politeness_grad,Negative Sentiment_grad,Neutral Sentiment_grad,Positive Sentiment_grad,Epistemic Uncertainty_grad,Doxastic Uncertainty_grad,Investigative Uncertainty_grad,Conditional Uncertainty_grad,No Uncertainty_grad
0.3333333333333333,0.6666666666666666,0.0,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.5000000000000001,-0.5,0.0,1.9860273225978183e-16,0.5000000000000001,-0.5,0.5000000000000001,-0.5,2.482534153247273e-17,2.482534153247273e-16,0.0,0.0,0.0,2.482534153247273e-17,0.0,2.482534153247273e-16
0.5,0.5,0.2,0.8,0.6,0.4,0.6,0.4,0.5,0.5,0.0,0.0,0.1,0.0,0.2,0.8,-0.0545454545454546,0.0545454545454545,0.0242424242424242,-0.0242424242424242,0.0727272727272727,-0.0727272727272727,-0.0484848484848484,0.0484848484848484,-0.0424242424242424,0.0424242424242424,0.0,0.0,0.0545454545454545,0.0,0.0848484848484848,-0.0848484848484849
0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5555555555555556,0.8888888888888888,0.1111111111111111,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0166666666666666,-0.0166666666666666,-0.0333333333333333,0.0333333333333333,0.0666666666666666,-0.0666666666666667,0.0833333333333332,-0.0833333333333333,-0.0166666666666666,0.0333333333333332,-0.0166666666666666,0.0,0.0,0.0,-1.3602952914354521e-17,-7.773115951059726e-17
0.25,0.75,0.0,1.0,0.25,0.75,0.5,0.5,0.75,0.25,0.0,0.0,0.0,0.0,0.0,1.0,-0.1,0.0999999999999998,0.0,-1.18687833744435e-16,0.1,-0.1000000000000001,-2.670476259249787e-16,-5.934391687221751e-17,0.0999999999999998,-0.1,0.0,0.0,0.0,0.0,0.0,-1.18687833744435e-16
0.5,0.5,0.25,0.75,0.5,0.5,0.5,0.5,0.25,0.75,0.0,0.125,0.0,0.125,0.375,0.375,0.0238095238095238,-0.0238095238095237,-0.0952380952380951,0.0952380952380952,-0.0714285714285713,0.0714285714285714,-0.0238095238095237,0.0238095238095238,4.222393708317812e-17,5.629858277757081e-17,0.0,0.0595238095238095,0.0,-0.0357142857142857,0.0357142857142857,-0.0595238095238094
0.2727272727272727,0.7272727272727273,0.1818181818181818,0.8181818181818182,0.3636363636363636,0.6363636363636364,0.3636363636363636,0.6363636363636364,0.0,1.0,0.0,0.0909090909090909,0.0,0.0909090909090909,0.2727272727272727,0.5454545454545454,0.0181818181818181,-0.0181818181818181,0.0454545454545454,-0.0454545454545454,-0.0181818181818181,0.0181818181818182,-0.0181818181818181,0.0181818181818182,0.0,2.263288185478387e-17,0.0,0.009090909090909,0.0,-0.0363636363636363,-0.0545454545454545,0.0818181818181817
0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.5000000000000001,-0.5,0.5000000000000001,2.482534153247273e-16,2.482534153247273e-17,2.482534153247273e-16,2.482534153247273e-17,0.5000000000000001,-0.5,0.0,0.0,0.0,0.0,0.0,1.9860273225978183e-16
0.2,0.8,0.1,0.9,0.4,0.6,0.2,0.8,0.2,0.8,0.0,0.0,0.0,0.3,0.3,0.4,0.096969696969697,-0.096969696969697,0.0424242424242424,-0.0424242424242424,0.0727272727272727,-0.0727272727272728,-0.012121212121212,0.012121212121212,-0.096969696969697,0.0969696969696969,0.0,0.0,0.0,-0.0545454545454546,-0.0181818181818182,0.0727272727272727
0.1818181818181818,0.8181818181818182,0.0,1.0,0.3636363636363636,0.6363636363636364,0.6363636363636364,0.3636363636363636,0.4545454545454545,0.5454545454545454,0.0,0.1818181818181818,0.0,0.1818181818181818,0.0909090909090909,0.6363636363636364,0.009090909090909,-0.009090909090909,0.0,2.263288185478387e-17,0.0999999999999999,-0.0999999999999999,-0.009090909090909,0.0090909090909091,-0.0545454545454545,0.0545454545454545,0.0,0.0636363636363636,0.0,-0.0454545454545454,0.0272727272727272,-0.0181818181818181
0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,-0.5,0.5000000000000001,0.0,1.9860273225978183e-16,2.482534153247273e-17,2.482534153247273e-16,-0.5,0.5000000000000001,1.9860273225978183e-16,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,-0.5
