n_words_mean,pron_me_mean,pron_we_mean,pron_you_mean,pron_3rd_mean,geo_mean,meta_mean,certain_mean,hedge_mean,n_introduced_mean,n_introduced_w_certain_mean,n_introduced_w_hedge_mean,n_words_grad,pron_me_grad,pron_we_grad,pron_you_grad,pron_3rd_grad,geo_grad,meta_grad,certain_grad,hedge_grad,n_introduced_grad,n_introduced_w_certain_grad,n_introduced_w_hedge_grad
21.75,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,-14.500000000000012,-0.6000000000000006,-0.3000000000000003,0.0,-0.3000000000000003,0.0,0.0,0.0,-0.3000000000000003,0.0,0.0,0.0
24.454545454545453,0.18181818181818182,0.18181818181818182,0.0,0.5454545454545454,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.0,0.0,0.0,0.8090909090909094,0.03636363636363635,0.03636363636363635,0.0,0.04545454545454547,0.0,0.07272727272727271,0.018181818181818184,0.02727272727272728,0.0,0.0,0.0
11.5,0.1,0.1,0.0,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.0,-1.9818181818181817,-0.05454545454545454,-0.0060606060606060675,0.0,-0.10909090909090909,0.018181818181818188,0.0,-0.10909090909090909,-0.0060606060606060675,0.0,0.0,0.0
26.8,0.0,0.2,0.0,0.0,0.6,0.0,0.2,0.2,0.0,0.0,0.0,-15.799999999999999,0.0,-1.52023548612203e-17,0.0,0.0,-0.09999999999999999,0.0,-1.52023548612203e-17,-0.2,0.0,0.0,0.0
20.444444444444443,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0,0.0,0.0,-2.216666666666668,-0.18333333333333343,0.0,-0.016666666666666677,0.0,0.0,0.0,0.05000000000000001,-0.13333333333333336,0.0,0.0,0.0
46.916666666666664,0.5,0.16666666666666666,0.0,0.6666666666666666,0.9166666666666666,0.0,0.25,1.3333333333333333,0.0,0.0,0.0,-5.786713286713292,-0.08391608391608395,-0.020979020979021004,0.0,-0.06293706293706298,-0.17832167832167842,0.0,0.05944055944055945,-0.07692307692307698,0.0,0.0,0.0
6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,-0.6857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17142857142857137,0.0,0.0,0.0
23.583333333333332,0.4166666666666667,0.08333333333333333,0.0,0.75,0.3333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.0,-1.4440559440559455,-0.0034965034965035364,0.0034965034965034896,0.0,-0.03146853146853155,0.006993006993006969,0.0,0.0,-0.03146853146853158,0.0,0.0,0.0
29.53846153846154,0.3076923076923077,0.0,0.3076923076923077,0.07692307692307693,0.5384615384615384,0.0,0.07692307692307693,0.5384615384615384,0.0,0.0,0.0,-0.2692307692307676,0.049450549450549476,0.0,-0.016483516483516467,-0.01098901098901098,0.010989010989011025,0.0,0.021978021978021987,0.027472527472527486,0.0,0.0,0.0
13.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,-1.1000000000000023,-5.93439168722175e-17,0.0,0.0,0.0,0.0,0.0,0.0,-0.1000000000000003,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.057142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.25,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-2.3000000000000016,-0.10000000000000009,0.0,0.0,0.0,-0.3000000000000003,0.0,0.0,0.0,0.0,0.0,0.0
28.7,0.2,0.0,0.0,0.1,0.8,0.0,0.0,0.3,0.0,0.0,0.0,-3.242424242424245,-0.03636363636363638,0.0,0.0,-0.0181818181818182,-0.16969696969696973,0.0,0.0,-0.09090909090909098,0.0,0.0,0.0
21.571428571428573,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,-1.464285714285714,0.07142857142857141,0.0,0.0,0.0,0.0,0.0,0.0,-0.10714285714285712,0.0,0.0,0.0
11.75,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,-8.70000000000001,0.0,0.0,0.0,0.0,-1.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.0
