DT-Level 0_mean,DT-Level 1_mean,DT-Level 2_mean,DT-Level 3_mean,DT-Level 4_mean,DT-Level 5_mean,DT-Level 6_mean,DT-Level 7_mean,DT-Label A_mean,DT-Label B_mean,DT-Label C_mean,DT-Label D_mean,DT-Label E_mean,DT-Label F_mean,DT-Label G_mean,DT-Label H_mean,DT-Label I_mean,DT-Level 0_grad,DT-Level 1_grad,DT-Level 2_grad,DT-Level 3_grad,DT-Level 4_grad,DT-Level 5_grad,DT-Level 6_grad,DT-Level 7_grad,DT-Label A_grad,DT-Label B_grad,DT-Label C_grad,DT-Label D_grad,DT-Label E_grad,DT-Label F_grad,DT-Label G_grad,DT-Label H_grad,DT-Label I_grad
0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.00606060606060606,0.0,0.0,0.0,-0.09090909090909094,0.0,0.018181818181818188,0.0,-0.04242424242424247,0.0,0.0,0.0
0.0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,-0.050000000000000065,0.0,0.0,0.0,0.0,-0.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999984,0.0,0.0,0.0,0.0,-0.3000000000000003,0.0,0.0,0.0,-0.10000000000000009,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,-0.08333333333333327,-0.0357142857142857,0.0476190476190476,0.0,0.03571428571428569,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636363636363636,0.0,-0.009090909090909094,0.0,0.0,-0.08181818181818176,0.0,-0.06363636363636359,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9860273225978183e-16,0.0,0.0,0.0,0.0,2.482534153247273e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.3,0.1,0.3,0.0,0.0,0.0,0.1,0.1,-0.05454545454545454,0.0,0.0,0.0,-2.630557450796067e-17,-0.0060606060606060675,0.0,0.0,0.0,-0.030303030303030335,-0.0060606060606060675,-0.09090909090909102,0.0,0.0,0.0,0.00606060606060606,0.030303030303030314
0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.2727272727272727,0.0,0.0,0.2727272727272727,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39493227821758e-17,0.0,0.02727272727272726,0.0,0.0,-0.09999999999999992,1.4145551159239919e-18,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.9860273225978183e-16,0.0,0.0,0.0,0.0,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,2.482534153247273e-17,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-4.0539612963254127e-17,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9860273225978183e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,-0.016666666666666725,0.0,0.01666666666666666,0.0,0.0,-0.08333333333333334,0.0,-0.03333333333333334,0.0,0.0,0.0,-0.03333333333333334,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.988097684046442e-17,0.0,0.0,0.0,0.0,-0.1428571428571428,0.0,0.028571428571428574,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9860273225978183e-16,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.14285714285714285,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.5714285714285714,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857141,0.0,0.0,0.0,0.0,-0.10714285714285712,0.0,0.0,-0.10714285714285716,0.0,1.1638299620940968e-17,0.0,0.0,0.07142857142857141,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.125,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7532388518380545e-17,0.0,-0.0357142857142857,0.0,0.0,-0.08333333333333327,0.0,0.059523809523809514,0.0,0.0,0.0,0.0,0.0
0.006779661016949152,0.08135593220338982,0.0,0.01694915254237288,0.423728813559322,0.04406779661016949,0.08135593220338982,0.0,0.010169491525423728,0.09830508474576272,0.010169491525423728,0.1694915254237288,0.0,0.013559322033898305,0.0,0.003389830508474576,0.17966101694915254,-7.525685491787189e-05,4.206904933297353e-06,0.0,-8.927987136219577e-05,-0.0017379191713332146,-0.0005188516084399862,-0.0006375798143352623,0.0,-4.674338814774498e-07,-0.0007502313797713311,0.0001299466190507353,0.00103817065076145,0.0,5.749436742172821e-05,0.0,3.225293782194509e-05,0.0009909598287322257
0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999984,0.0,0.0,0.0,0.0,-0.10000000000000009,-0.10000000000000009,0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
